title,avg_monthly_searches,competition_index,api_status,gate_passed,checked_at
Fuel Radar,1600.0,0.0,success,True,2026-08-17T20:36:04.789698+09:00
Fuel Register,2400.0,0.0,success,True,2026-08-17T23:09:36.803243+09:00
Fuel Watch,368000.0,0.0,success,True,2026-08-17T21:36:24.237197+09:00
Furnace Deck,6600.0,0.0,success,True,2026-08-18T22:07:40.431986+09:00
Furnace Tag,1300.0,0.0,success,True,2026-08-19T13:22:09.591180+09:00
Furnace Tracker,3600.0,0.0,success,True,2026-08-18T21:06:03.853095+09:00
Gallery Tag,90500.0,0.0,success,True,2026-08-19T13:20:54.330811+09:00
Grading Chart,8100.0,0.0,success,True,2026-08-19T12:23:14.200437+09:00
Grading Check,9900.0,0.0,success,True,2026-08-19T13:28:58.111204+09:00
Grading Score,2900.0,0.0,success,True,2026-08-19T13:29:07.755274+09:00
Grid Atlas,1600.0,0.0,success,True,2026-08-17T20:41:19.373388+09:00
Grid Compass,1000.0,0.0,success,True,2026-08-17T21:38:35.218560+09:00
Grid Finder,5400.0,0.0,success,True,2026-08-19T00:00:34.964613+09:00
Grid Map,9900.0,0.0,success,True,2026-08-17T20:41:00.568700+09:00
Grid Tracker,1000.0,0.0,success,True,2026-08-17T20:37:01.636634+09:00
Guest Profile,1900.0,0.0,success,True,2026-08-19T13:29:58.473439+09:00
Hearing Path,1000.0,0.0,success,True,2026-08-17T20:39:04.557611+09:00
Hearing Sheet,1600.0,0.0,success,True,2026-08-19T13:28:00.720814+09:00
Immunization Card,5400.0,0.0,success,True,2026-08-19T13:24:22.197081+09:00
Immunization Register,27100.0,0.0,success,True,2026-08-17T23:07:36.976637+09:00
Impact Frame,27100.0,0.0,success,True,2026-08-17T21:39:05.774100+09:00
Impact Lab,3600.0,0.0,success,True,2026-08-17T21:31:11.680234+09:00
Impact Point,1900.0,0.0,success,True,2026-08-17T20:32:17.131006+09:00
Incident Map,1000.0,0.0,success,True,2026-08-17T21:32:40.946824+09:00
Intake Center,1000.0,0.0,success,True,2026-08-17T21:36:38.708092+09:00
Interaction Log,4400.0,0.0,success,True,2026-08-19T13:21:11.802983+09:00
Interview Nexus,1900.0,0.0,success,True,2026-08-17T21:33:42.291802+09:00
Interview Office,1000.0,0.0,success,True,2026-08-18T23:59:20.806892+09:00
Interview Panel,14800.0,0.0,success,True,2026-08-17T20:35:38.392873+09:00
Inventory Hub,1300.0,0.0,success,True,2026-08-17T20:34:03.344800+09:00
Inventory Profile,1600.0,0.0,success,True,2026-08-19T13:24:17.578330+09:00
Invitation Tracker,18100.0,0.0,success,True,2026-08-19T13:32:04.589089+09:00
Knowledge Board,2400.0,0.0,success,True,2026-08-17T21:37:46.877382+09:00
Knowledge Check,2900.0,0.0,success,True,2026-08-19T13:26:59.554690+09:00
Knowledge Gate,22200.0,0.0,success,True,2026-08-17T20:35:52.510868+09:00
Leave Office,1300.0,0.0,success,True,2026-08-19T00:01:10.174789+09:00
Leave Score,24900000.0,0.0,success,True,2026-08-19T13:30:02.018673+09:00
License Board,1900.0,0.0,success,True,2026-08-19T12:26:06.734544+09:00
